School Name,District Name (School),County Name (School)
Big Bear Elementary (Bear Valley Unified),Bear Valley Unified,San Bernardino
Big Bear High (Bear Valley Unified),Bear Valley Unified,San Bernardino
Big Bear Middle (Bear Valley Unified),Bear Valley Unified,San Bernardino
Big Creek Elementary (Big Creek Elementary),Big Creek Elementary,Fresno
Big Lagoon Elementary (Big Lagoon Union Elementary),Big Lagoon Union Elementary,Humboldt
Big Picture High School - Fresno (Fresno County Office of Education),Fresno County Office of Education,Fresno
Big Pine Elementary (Big Pine Unified),Big Pine Unified,Inyo
Big Pine High (Big Pine Unified),Big Pine Unified,Inyo
Big Springs Elementary (Simi Valley Unified),Simi Valley Unified,Ventura
Big Springs Elementary (Big Springs Union Elementary),Big Springs Union Elementary,Siskiyou
Big Sur Charter (Big Sur Unified),Big Sur Unified,Monterey
Big Valley Elementary (Big Valley Joint Unified),Big Valley Joint Unified,Lassen
Big Valley Jr. Sr. High (Big Valley Joint Unified),Big Valley Joint Unified,Lassen
Biggs Elementary (Biggs Unified),Biggs Unified,Butte
Biggs High (Biggs Unified),Biggs Unified,Butte
Biggs Secondary Community Day (Biggs Unified),Biggs Unified,Butte
Bijou Community (Lake Tahoe Unified),Lake Tahoe Unified,El Dorado
Bill E. Young Jr. Middle (Calipatria Unified),Calipatria Unified,Imperial
Bill L. Williams Elementary (Panama-Buena Vista Union),Panama-Buena Vista Union,Kern
Bill M. Manes High (San Pasqual Valley Unified),San Pasqual Valley Unified,Imperial
Billy Mitchell Elementary (Lawndale Elementary),Lawndale Elementary,Los Angeles
Bing Wong Elementary (San Bernardino City Unified),San Bernardino City Unified,San Bernardino
Binkley Elementary Charter (Rincon Valley Union Elementary),Rincon Valley Union Elementary,Sonoma
Biola-Pershing Elementary (Central Unified),Central Unified,Fresno
Birch High (Continuation) (Fontana Unified),Fontana Unified,San Bernardino
Birch Lane Elementary (Davis Joint Unified),Davis Joint Unified,Yolo
Bird Rock Elementary (San Diego Unified),San Diego Unified,San Diego
Bird Street Elementary (Oroville City Elementary),Oroville City Elementary,Butte
Birdielee V. Bright Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Birmingham Community Charter High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Birney Elementary (San Diego Unified),San Diego Unified,San Diego
Birney Elementary (Redondo Beach Unified),Redondo Beach Unified,Los Angeles
Birney Elementary (Long Beach Unified),Long Beach Unified,Los Angeles
Birney Elementary (Fresno Unified),Fresno Unified,Fresno
Bishop Elementary (Sunnyvale),Sunnyvale,Santa Clara
Bishop Independent Study (Bishop Unified),Bishop Unified,Inyo
Bishop Union Elementary Community Day (Bishop Unified),Bishop Unified,Inyo
Bishop Union Elementary Community Day II (Bishop Unified),Bishop Unified,Inyo
Bishop Union High (Bishop Unified),Bishop Unified,Inyo
Bishop's Peak Elementary (San Luis Coastal Unified),San Luis Coastal Unified,San Luis Obispo
Bitely (Arlene) Elementary (Garvey Elementary),Garvey Elementary,Los Angeles
Bitney College Preparatory High (Nevada County Office of Education),Nevada County Office of Education,Nevada
Bitterwater-Tully Elementary (Bitterwater-Tully Elementary),Bitterwater-Tully Elementary,San Benito
Bixby Elementary (Long Beach Unified),Long Beach Unified,Los Angeles
Bixby Elementary (Hacienda la Puente Unified),Hacienda la Puente Unified,Los Angeles
Black Butte Elementary (Black Butte Union Elementary),Black Butte Union Elementary,Shasta
Black Butte Junior High (Black Butte Union Elementary),Black Butte Union Elementary,Shasta
Black Diamond High (Continuation) (Pittsburg Unified),Pittsburg Unified,Contra Costa
Black Diamond Middle (Antioch Unified),Antioch Unified,Contra Costa
Black Mountain Middle (Poway Unified),Poway Unified,San Diego
Black Rock Alternative/Continuation (Morongo Unified),Morongo Unified,San Bernardino
Blackford Elementary (Campbell Union),Campbell Union,Santa Clara
Blair High (Pasadena Unified),Pasadena Unified,Los Angeles
Blake Elementary (Blake Elementary),Blake Elementary,Kern
Blaker-Kinser Junior High (Ceres Unified),Ceres Unified,Stanislaus
Blanchard Elementary (Santa Paula Unified),Santa Paula Unified,Ventura
Blanche Charles Elementary (Calexico Unified),Calexico Unified,Imperial
Blanche Reynolds Elementary (Ventura Unified),Ventura Unified,Ventura
Blanche Sprentz Elementary (Folsom-Cordova Unified),Folsom-Cordova Unified,Sacramento
Blandford Elementary (Rowland Unified),Rowland Unified,Los Angeles
Bloomington High (Colton Joint Unified),Colton Joint Unified,San Bernardino
Blosser Lane Elementary (Willits Unified),Willits Unified,Mendocino
Blossom Hill Elementary (Los Gatos Union Elementary),Los Gatos Union Elementary,Santa Clara
Blossom Valley Elementary (Cajon Valley Union),Cajon Valley Union,San Diego
Blue Heron (Konocti Unified),Konocti Unified,Lake
Blue Hills Elementary (Cupertino Union),Cupertino Union,Santa Clara
Blue Lake Elementary (Blue Lake Union Elementary),Blue Lake Union Elementary,Humboldt
Blue Oak Charter (Chico Unified),Chico Unified,Butte
Blue Oak Elementary (Buckeye Union Elementary),Buckeye Union Elementary,El Dorado
Blue Oaks Elementary (Roseville City Elementary),Roseville City Elementary,Placer
Blue Ridge (El Dorado County Office of Education),El Dorado County Office of Education,El Dorado
Blythe Middle (Palo Verde Unified),Palo Verde Unified,Riverside
Blythe Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Bob Holcomb Elementary (San Bernardino City Unified),San Bernardino City Unified,San Bernardino
Bob Murphy Community (San Bernardino County Office of Education),San Bernardino County Office of Education,San Bernardino
Bobbie Smith Elementary (Long Beach Unified),Long Beach Unified,Los Angeles
Bobby Duke Middle (Coachella Valley Unified),Coachella Valley Unified,Riverside
Bobier Elementary (Vista Unified),Vista Unified,San Diego
Bodega Bay Elementary (Shoreline Unified),Shoreline Unified,Marin
Bogus Elementary (Bogus Elementary),Bogus Elementary,Siskiyou
Bohannon Middle (San Lorenzo Unified),San Lorenzo Unified,Alameda
Bolinas-Stinson Elementary (Bolinas-Stinson Union),Bolinas-Stinson Union,Marin
Bollinger Canyon Elementary (San Ramon Valley Unified),San Ramon Valley Unified,Contra Costa
Bolsa Grande High (Garden Grove Unified),Garden Grove Unified,Orange
Bolsa Knolls Middle (Santa Rita Union Elementary),Santa Rita Union Elementary,Monterey
Bon View Elementary (Ontario-Montclair),Ontario-Montclair,San Bernardino
Bonita Canyon Elementary (Irvine Unified),Irvine Unified,Orange
Bonita Elementary (Santa Maria-Bonita),Santa Maria-Bonita,Santa Barbara
Bonita Elementary (Newman-Crows Landing Unified),Newman-Crows Landing Unified,Stanislaus
Bonita High (Bonita Unified),Bonita Unified,Los Angeles
Bonita Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Bonita Vista Middle (Sweetwater Union High),Sweetwater Union High,San Diego
Bonita Vista Senior High (Sweetwater Union High),Sweetwater Union High,San Diego
Bonny Doon Elementary (Bonny Doon Union Elementary),Bonny Doon Union Elementary,Santa Cruz
Bonny View Elementary (Redding Elementary),Redding Elementary,Shasta
Bonsall Elementary (Bonsall Unified),Bonsall Unified,San Diego
Bonsall High (Bonsall Unified),Bonsall Unified,San Diego
Bonsall West Elementary (Bonsall Unified),Bonsall Unified,San Diego
Booksin Elementary (San Jose Unified),San Jose Unified,Santa Clara
Boone Elementary (San Diego Unified),San Diego Unified,San Diego
Borel Middle (San Mateo-Foster City),San Mateo-Foster City,San Mateo
Boron Junior-Senior High (Muroc Joint Unified),Muroc Joint Unified,Kern
Boronda Community Day (Monterey County Office of Education),Monterey County Office of Education,Monterey
Boronda Elementary (Salinas City Elementary),Salinas City Elementary,Monterey
Boronda Meadows (Salinas City Elementary),Salinas City Elementary,Monterey
Borrego Springs Elementary (Borrego Springs Unified),Borrego Springs Unified,San Diego
Borrego Springs High (Borrego Springs Unified),Borrego Springs Unified,San Diego
Borrego Springs Middle (Borrego Springs Unified),Borrego Springs Unified,San Diego
Bostonia Elementary (Cajon Valley Union),Cajon Valley Union,San Diego
Boulder Creek Elementary (Enterprise Elementary),Enterprise Elementary,Shasta
Boulder Creek Elementary (San Lorenzo Valley Unified),San Lorenzo Valley Unified,Santa Cruz
Boulder Oaks Elementary (Alpine Union Elementary),Alpine Union Elementary,San Diego
Boulder Ridge Elementary (Romoland Elementary),Romoland Elementary,Riverside
Bowditch Middle (San Mateo-Foster City),San Mateo-Foster City,San Mateo
Bowers Elementary (Santa Clara Unified),Santa Clara Unified,Santa Clara
Bowling Green Elementary (Sacramento City Unified),Sacramento City Unified,Sacramento
Bowman (Jereann) High (Continuation) (William S. Hart Union High),William S. Hart Union High,Los Angeles
Bowman Charter (Ackerman Charter),Ackerman Charter,Placer
Bowman Elementary (Hayward Unified),Hayward Unified,Alameda
Box Springs Elementary (Moreno Valley Unified),Moreno Valley Unified,Riverside
Boyd Elementary (Rialto Unified),Rialto Unified,San Bernardino
Boyle Heights Continuation (Los Angeles Unified),Los Angeles Unified,Los Angeles
Boyle Heights STEM High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Boynton High (Campbell Union High),Campbell Union High,Santa Clara
Boys Republic High (Chino Valley Unified),Chino Valley Unified,San Bernardino
Bracher Elementary (Santa Clara Unified),Santa Clara Unified,Santa Clara
Braddock Drive Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Bradford Woodbridge Fundamental Elementary (Roseville City Elementary),Roseville City Elementary,Placer
Bradley Elementary (Pajaro Valley Unified),Pajaro Valley Unified,Santa Cruz
Bradley Elementary (San Bernardino City Unified),San Bernardino City Unified,San Bernardino
Bradley Elementary (Bradley Union Elementary),Bradley Union Elementary,Monterey
Bradoaks Elementary (Monrovia Unified),Monrovia Unified,Los Angeles
Bragg Elementary (ABC Unified),ABC Unified,Los Angeles
Brainard Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Braly Elementary (Santa Clara Unified),Santa Clara Unified,Santa Clara
Branch Elementary (Lucia Mar Unified),Lucia Mar Unified,San Luis Obispo
Branciforte Middle (Santa Cruz City High),Santa Cruz City High,Santa Cruz
Brandon Elementary (Goleta Union Elementary),Goleta Union Elementary,Santa Barbara
Branham High (Campbell Union High),Campbell Union High,Santa Clara
Branscomb Elementary (Laytonville Unified),Laytonville Unified,Mendocino
Bravo Lake High (Woodlake Unified),Woodlake Unified,Tulare
Brawley High (Brawley Union High),Brawley Union High,Imperial
Brea Canyon High (Continuation) (Brea-Olinda Unified),Brea-Olinda Unified,Orange
Brea Country Hills Elementary (Brea-Olinda Unified),Brea-Olinda Unified,Orange
Brea Junior High (Brea-Olinda Unified),Brea-Olinda Unified,Orange
Brea-Olinda High (Brea-Olinda Unified),Brea-Olinda Unified,Orange
Breed Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Breen Elementary (Rocklin Unified),Rocklin Unified,Placer
Breeze Hill Elementary (Vista Unified),Vista Unified,San Diego
Brenkwitz High (Hayward Unified),Hayward Unified,Alameda
Brentwood Academy (Ravenswood City Elementary),Ravenswood City Elementary,San Mateo
Brentwood Elementary (Brentwood Union Elementary),Brentwood Union Elementary,Contra Costa
Brentwood Elementary (Victor Elementary),Victor Elementary,San Bernardino
Brentwood Science (Los Angeles Unified),Los Angeles Unified,Los Angeles
Bret Harte Elementary (Corcoran Joint Unified),Corcoran Joint Unified,Kings
Bret Harte Elementary (Sacramento City Unified),Sacramento City Unified,Sacramento
Bret Harte Elementary (Modesto City Elementary),Modesto City Elementary,Stanislaus
Bret Harte Elementary (Burbank Unified),Burbank Unified,Los Angeles
Bret Harte Middle (Hayward Unified),Hayward Unified,Alameda
Bret Harte Middle (San Jose Unified),San Jose Unified,Santa Clara
Bret Harte Middle (Oakland Unified),Oakland Unified,Alameda
Bret Harte Preparatory Middle (Los Angeles Unified),Los Angeles Unified,Los Angeles
Bret Harte Union High (Bret Harte Union High),Bret Harte Union High,Calaveras
Brewer Island Elementary (San Mateo-Foster City),San Mateo-Foster City,San Mateo
Briarwood Elementary (Santa Clara Unified),Santa Clara Unified,Santa Clara
Bridge Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Bridge Street Elementary (Yuba City Unified),Yuba City Unified,Sutter
Bridgepoint High (Continuation) (Newark Unified),Newark Unified,Alameda
Bridgeport Elementary (Saugus Union),Saugus Union,Los Angeles
Bridgeport Elementary (Eastern Sierra Unified),Eastern Sierra Unified,Mono
Bridges (Antioch Unified),Antioch Unified,Contra Costa
Bridges Academy (Lemoore Union Elementary),Lemoore Union Elementary,Kings
Bridges Academy (Oakland Unified),Oakland Unified,Alameda
Bridges Academy (Franklin-McKinley Elementary),Franklin-McKinley Elementary,Santa Clara
BRIDGES Charter (Ventura County Office of Education),Ventura County Office of Education,Ventura
"Bridges Community Based School, North County Consortium (Windsor Unified)",Windsor Unified,Sonoma
Bridges Community Day (Charter Oak Unified),Charter Oak Unified,Los Angeles
Bridges Community Day (Capistrano Unified),Capistrano Unified,Orange
Bridgeville Elementary (Bridgeville Elementary),Bridgeville Elementary,Humboldt
Bridgeway Island Elementary (Washington Unified),Washington Unified,Yolo
Brier Elementary (Fremont Unified),Fremont Unified,Alameda
Briggs Elementary (Briggs Elementary),Briggs Elementary,Ventura
Bright Star Secondary Charter Academy (Los Angeles Unified),Los Angeles Unified,Los Angeles
Brightwood Elementary (Alhambra Unified),Alhambra Unified,Los Angeles
Briones (Alternative) (Martinez Unified),Martinez Unified,Contra Costa
Brisbane Elementary (Brisbane Elementary),Brisbane Elementary,San Mateo
Brittan Acres Elementary (San Carlos Elementary),San Carlos Elementary,San Mateo
Brittan Elementary (Brittan Elementary),Brittan Elementary,Sutter
Broad Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Broadacres Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Broadway Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Broadway High (San Jose Unified),San Jose Unified,Santa Clara
Brock Elliott Elementary (Manteca Unified),Manteca Unified,San Joaquin
Brockton Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Brook Haven Elementary (Sebastopol Union Elementary),Sebastopol Union Elementary,Sonoma
Brook Hill Elementary (Santa Rosa Elementary),Santa Rosa Elementary,Sonoma
Brook Knoll Elementary (Scotts Valley Unified),Scotts Valley Unified,Santa Cruz
Brookfield Elementary (Oakland Unified),Oakland Unified,Alameda
Brookhaven Elementary (Placentia-Yorba Linda Unified),Placentia-Yorba Linda Unified,Orange
Brookhurst Elementary (Garden Grove Unified),Garden Grove Unified,Orange
Brookhurst Junior High (Anaheim Union High),Anaheim Union High,Orange
Brooklyn Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Brooks Elementary (Windsor Unified),Windsor Unified,Sonoma
Brookside (Lincoln Unified),Lincoln Unified,San Joaquin
Brookside Elementary (Oak Park Unified),Oak Park Unified,Ventura
Brookside Elementary (Ross Valley Elementary),Ross Valley Elementary,Marin
Brookside Elementary (Willits Unified),Willits Unified,Mendocino
Brookside Elementary (Beaumont Unified),Beaumont Unified,Riverside
Brooktree Elementary (Berryessa Union Elementary),Berryessa Union Elementary,Santa Clara
Brookvale Elementary (Fremont Unified),Fremont Unified,Alameda
Brown Jr. (Willie L) Middle (San Francisco Unified),San Francisco Unified,San Francisco
Brownell Middle (Gilroy Unified),Gilroy Unified,Santa Clara
Browning Road Elementary (McFarland Unified),McFarland Unified,Kern
Browns Elementary (Browns Elementary),Browns Elementary,Sutter
Browns Valley Elementary (Vacaville Unified),Vacaville Unified,Solano
Browns Valley Elementary (Marysville Joint Unified),Marysville Joint Unified,Yuba
Browns Valley Elementary (Napa Valley Unified),Napa Valley Unified,Napa
Bruce (Robert) Elementary (Santa Maria-Bonita),Santa Maria-Bonita,Santa Barbara
Bryant Elementary (San Francisco Unified),San Francisco Unified,San Francisco
Bryant Elementary (Riverside Unified),Riverside Unified,Riverside
Bryant Elementary (Long Beach Unified),Long Beach Unified,Los Angeles
Bryant Elementary (Garden Grove Unified),Garden Grove Unified,Orange
Bryant Middle (Dos Palos Oro Loma Joint Unified),Dos Palos Oro Loma Joint Unified,Merced
Bryant Ranch Elementary (Placentia-Yorba Linda Unified),Placentia-Yorba Linda Unified,Orange
Bryn Mawr Elementary (Redlands Unified),Redlands Unified,San Bernardino
Bryson Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Brywood Elementary (Irvine Unified),Irvine Unified,Orange
Bubbling Wells Elementary (Palm Springs Unified),Palm Springs Unified,Riverside
Buchanan High (Clovis Unified),Clovis Unified,Fresno
Buchanan Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Buchser Middle (Santa Clara Unified),Santa Clara Unified,Santa Clara
Buckeye Elementary (Buckeye Union Elementary),Buckeye Union Elementary,El Dorado
Buckeye School of the Arts (Gateway Unified),Gateway Unified,Shasta
Bud Carson Middle (Hawthorne),Hawthorne,Los Angeles
Bud Rank Elementary (Clovis Unified),Clovis Unified,Fresno
Budlong Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Buena High (Ventura Unified),Ventura Unified,Ventura
Buena Park High (Fullerton Joint Union High),Fullerton Joint Union High,Orange
Buena Park Junior High (Buena Park Elementary),Buena Park Elementary,Orange
Buena Terra Elementary (Centralia Elementary),Centralia Elementary,Orange
Buena Vista Arts-Integrated (Ontario-Montclair),Ontario-Montclair,San Bernardino
Buena Vista Community Day (Pleasant View Elementary),Pleasant View Elementary,Tulare
Buena Vista Continuation High (Chino Valley Unified),Chino Valley Unified,San Bernardino
Buena Vista Elementary (Palmdale Elementary),Palmdale Elementary,Los Angeles
Buena Vista Elementary (Lompoc Unified),Lompoc Unified,Santa Barbara
Buena Vista Elementary (Carlsbad Unified),Carlsbad Unified,San Diego
Buena Vista Elementary (Buena Vista Elementary),Buena Vista Elementary,Tulare
Buena Vista Elementary (Panama-Buena Vista Union),Panama-Buena Vista Union,Kern
Buena Vista Elementary (Walnut Creek Elementary),Walnut Creek Elementary,Contra Costa
Buena Vista High (Geyserville Unified),Geyserville Unified,Sonoma
Buena Vista High (Paramount Unified),Paramount Unified,Los Angeles
Buena Vista High (Continuation) (Taft Union High),Taft Union High,Kern
Buena Vista Middle (Spreckels Union Elementary),Spreckels Union Elementary,Monterey
Buena Vista/ Horace Mann K-8 (San Francisco Unified),San Francisco Unified,San Francisco
Buford Elementary (Lennox),Lennox,Los Angeles
Buhach Colony High (Merced Union High),Merced Union High,Merced
Bullard High (Fresno Unified),Fresno Unified,Fresno
Bullard Talent Project (Fresno Unified),Fresno Unified,Fresno
Bullis Charter (Santa Clara County Office of Education),Santa Clara County Office of Education,Santa Clara
Bunche Middle (Compton Unified),Compton Unified,Los Angeles
Burbank (Luther) Elementary (ABC Unified),ABC Unified,Los Angeles
Burbank Boulevard Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Burbank Elementary (Hayward Unified),Hayward Unified,Alameda
Burbank Elementary (San Diego Unified),San Diego Unified,San Diego
Burbank Elementary (Modesto City Elementary),Modesto City Elementary,Stanislaus
Burbank Elementary (Long Beach Unified),Long Beach Unified,Los Angeles
Burbank High (Burbank Unified),Burbank Unified,Los Angeles
Burbank Unified Independent Learning Academy (BUILA) (Burbank Unified),Burbank Unified,Los Angeles
Burbank USD Community Day (Burbank Unified),Burbank Unified,Los Angeles
Burcham Elementary (Long Beach Unified),Long Beach Unified,Los Angeles
Burckhalter Elementary (Oakland Unified),Oakland Unified,Alameda
Buri Buri Elementary (South San Francisco Unified),South San Francisco Unified,San Mateo
Burlingame High (San Mateo Union High),San Mateo Union High,San Mateo
Burlingame Intermediate (Burlingame Elementary),Burlingame Elementary,San Mateo
Burney Community Day (Fall River Joint Unified),Fall River Joint Unified,Shasta
Burney Elementary (Fall River Joint Unified),Fall River Joint Unified,Shasta
Burney Elementary Community Day (Fall River Joint Unified),Fall River Joint Unified,Shasta
Burney Junior-Senior High (Fall River Joint Unified),Fall River Joint Unified,Shasta
Burns Valley (Konocti Unified),Konocti Unified,Lake
Burnt Ranch Elementary (Burnt Ranch Elementary),Burnt Ranch Elementary,Trinity
Burrel Elementary (Burrel Union Elementary),Burrel Union Elementary,Fresno
Burroughs Elementary (Long Beach Unified),Long Beach Unified,Los Angeles
Burroughs Elementary (Fresno Unified),Fresno Unified,Fresno
Burroughs High (Burbank Unified),Burbank Unified,Los Angeles
Burroughs High (Sierra Sands Unified),Sierra Sands Unified,Kern
Bursch Elementary (Compton Unified),Compton Unified,Los Angeles
Burton (Phillip and Sala) Academic High (San Francisco Unified),San Francisco Unified,San Francisco
Burton Community Day (Burton Elementary),Burton Elementary,Tulare
Burton Elementary (Burton Elementary),Burton Elementary,Tulare
Burton Fusion Academy (Burton Elementary),Burton Elementary,Tulare
Burton Middle (Burton Elementary),Burton Elementary,Tulare
Burton Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Burton Valley Elementary (Lafayette Elementary),Lafayette Elementary,Contra Costa
BUSD School of Opportunity (Barstow Unified),Barstow Unified,San Bernardino
Bushnell Way Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Butte County Community School - LEAD (Butte County Office of Education),Butte County Office of Education,Butte
Butte County Special Education (Butte County Office of Education),Butte County Office of Education,Butte
Butte Valley Elementary (Butte Valley Unified),Butte Valley Unified,Siskiyou
Butte Valley High (Butte Valley Unified),Butte Valley Unified,Siskiyou
Butte Valley Middle (Butte Valley Unified),Butte Valley Unified,Siskiyou
Butte View High (Sutter Union High),Sutter Union High,Sutter
Butte Vista Elementary (Yuba City Unified),Yuba City Unified,Sutter
Butterfield Charter High (Porterville Unified),Porterville Unified,Tulare
Butterfield Elementary (Moreno Valley Unified),Moreno Valley Unified,Riverside
Butterfield Ranch Elementary (Chino Valley Unified),Chino Valley Unified,San Bernardino
Butteville Elementary (Butteville Union Elementary),Butteville Union Elementary,Siskiyou
Buttonwillow Elementary (Buttonwillow Union Elementary),Buttonwillow Union Elementary,Kern
C. A. Jacobs Intermediate (Dixon Unified),Dixon Unified,Solano
C. B. Eaton Elementary (Cupertino Union),Cupertino Union,Santa Clara
C. C. Lambert Elementary (Tustin Unified),Tustin Unified,Orange
C. C. Violette Elementary (Garden Grove Unified),Garden Grove Unified,Orange
C. E. Utt Middle (Tustin Unified),Tustin Unified,Orange
C. K. McClatchy High (Sacramento City Unified),Sacramento City Unified,Sacramento
C. Morley Sellery Special Education Center (Los Angeles Unified),Los Angeles Unified,Los Angeles
C. Roy Carmichael Elementary (Plumas Unified),Plumas Unified,Plumas
C. T. English Middle (Loma Prieta Joint Union Elementary),Loma Prieta Joint Union Elementary,Santa Clara
C. W. Dillard Elementary (Elk Grove Unified),Elk Grove Unified,Sacramento
C. W. Haman Elementary (Santa Clara Unified),Santa Clara Unified,Santa Clara
Cabazon Elementary (Banning Unified),Banning Unified,Riverside
Cabot Yerxa Elementary (Palm Springs Unified),Palm Springs Unified,Riverside
Cabrillo Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Cabrillo Elementary (Fremont Unified),Fremont Unified,Alameda
Cabrillo Elementary (Upland Unified),Upland Unified,San Bernardino
Cabrillo Elementary (Pacifica),Pacifica,San Mateo
Cabrillo Elementary (San Diego Unified),San Diego Unified,San Diego
Cabrillo High (Lompoc Unified),Lompoc Unified,Santa Barbara
Cabrillo High (Long Beach Unified),Long Beach Unified,Los Angeles
Cabrillo Middle (Ventura Unified),Ventura Unified,Ventura
Cache Creek High (Continuation) (Woodland Joint Unified),Woodland Joint Unified,Yolo
Cactus Middle (Palmdale Elementary),Palmdale Elementary,Los Angeles
Cadman Elementary (San Diego Unified),San Diego Unified,San Diego
Cadwallader Elementary (Evergreen Elementary),Evergreen Elementary,Santa Clara
Cahuenga Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Cahuilla Desert Academy Junior High (Coachella Valley Unified),Coachella Valley Unified,Riverside
Cahuilla Elementary (Palm Springs Unified),Palm Springs Unified,Riverside
Cajon High (San Bernardino City Unified),San Bernardino City Unified,San Bernardino
Cajon Park Elementary (Santee),Santee,San Diego
Cajon Valley Community Day (Cajon Valley Union),Cajon Valley Union,San Diego
Cajon Valley Home (Cajon Valley Union),Cajon Valley Union,San Diego
Cajon Valley Middle (Cajon Valley Union),Cajon Valley Union,San Diego
Cal Aero Preserve Academy (Chino Valley Unified),Chino Valley Unified,San Bernardino
Cal Burke High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Cal Stem San Joaquin (New Jerusalem Elementary),New Jerusalem Elementary,San Joaquin
Calabasas Elementary (Pajaro Valley Unified),Pajaro Valley Unified,Santa Cruz
Calabasas High (Las Virgenes Unified),Las Virgenes Unified,Los Angeles
Calabash Charter Academy (Los Angeles Unified),Los Angeles Unified,Los Angeles
Calahan Community Charter (Los Angeles Unified),Los Angeles Unified,Los Angeles
Calavera Hills Elementary (Carlsbad Unified),Carlsbad Unified,San Diego
Calavera Hills Middle (Carlsbad Unified),Carlsbad Unified,San Diego
Calaveras County Special Education (SELPA) (Calaveras County Office of Education),Calaveras County Office of Education,Calaveras
Calaveras Educational Transitions (Calaveras Unified),Calaveras Unified,Calaveras
Calaveras Elementary (Hollister),Hollister,San Benito
Calaveras High (Calaveras Unified),Calaveras Unified,Calaveras
Calaveras Hills (Milpitas Unified),Milpitas Unified,Santa Clara
Calaveras River Academy (Calaveras County Office of Education),Calaveras County Office of Education,Calaveras
Calaveras Unified Alternative-Sierra Hills Education Center (Calaveras Unified),Calaveras Unified,Calaveras
Caleb Greenwood Elementary (Sacramento City Unified),Sacramento City Unified,Sacramento
Calero High (East Side Union High),East Side Union High,Santa Clara
Calexico High (Calexico Unified),Calexico Unified,Imperial
Cali Calmecac Language Academy (Windsor Unified),Windsor Unified,Sonoma
Caliber: Beta Academy (Contra Costa County Office of Education),Contra Costa County Office of Education,Contra Costa
Calico Continuation High (Silver Valley Unified),Silver Valley Unified,San Bernardino
Caliente Elementary (Caliente Union Elementary),Caliente Union Elementary,Kern
California Academy of Mathematics and Science (Long Beach Unified),Long Beach Unified,Los Angeles
California Avenue Elementary (Vista Unified),Vista Unified,San Diego
California Avenue Elementary (Riverbank Unified),Riverbank Unified,Stanislaus
California City High (Mojave Unified),Mojave Unified,Kern
California City Middle (Mojave Unified),Mojave Unified,Kern
California Connections Academy @ North Bay (Middletown Unified),Middletown Unified,Lake
California Connections Academy @ Ripon (Ripon Unified),Ripon Unified,San Joaquin
California Elementary (Newport-Mesa Unified),Newport-Mesa Unified,Orange
California Elementary (Orange Unified),Orange Unified,Orange
California Elementary (West Covina Unified),West Covina Unified,Los Angeles
California Elementary (Hacienda la Puente Unified),Hacienda la Puente Unified,Los Angeles
California Heritage Youthbuild Academy (Mono County Office of Education),Mono County Office of Education,Mono
California High (San Ramon Valley Unified),San Ramon Valley Unified,Contra Costa
California High (Whittier Union High),Whittier Union High,Los Angeles
California Middle (Sacramento City Unified),Sacramento City Unified,Sacramento
California Military Institute (Perris Union High),Perris Union High,Riverside
California Montessori Project - Capitol Campus (Sacramento City Unified),Sacramento City Unified,Sacramento
California Montessori Project - Elk Grove Campus (Elk Grove Unified),Elk Grove Unified,Sacramento
California Montessori Project-San Juan Campus (San Juan Unified),San Juan Unified,Sacramento
California Montessori Project-Shingle Springs Campus (Buckeye Union Elementary),Buckeye Union Elementary,El Dorado
California Pacific Charter Schools - San Diego (Warner Unified),Warner Unified,San Diego
California Preparatory Academy (Capistrano Unified),Capistrano Unified,Orange
California Virtual Academy @ Fresno (Orange Center),Orange Center,Fresno
California Virtual Academy @ Jamestown (Jamestown Elementary),Jamestown Elementary,Tuolumne
California Virtual Academy @ Kings (Armona Union Elementary),Armona Union Elementary,Kings
California Virtual Academy @ Los Angeles (West Covina Unified),West Covina Unified,Los Angeles
California Virtual Academy @ Maricopa (Maricopa Unified),Maricopa Unified,Kern
